# Timestep	Num_Clusters	Max_Cluster_Size
1563	8	3425
1564	15	3418
1565	8	3425
1566	9	3424
1567	7	3421
1568	8	3425
1569	10	3423
1570	9	3424
1571	14	3418
1572	13	3420
1573	10	3423
1574	11	3421
1575	9	3423
1576	9	3424
1577	12	3421
1578	9	3424
1579	12	3421
1580	10	3423
1581	9	3424
1582	9	3424
1583	13	3413
1584	18	3415
1585	16	3417
1586	9	3423
1587	13	3420
1588	7	3426
1589	7	3426
1590	11	3422
1591	12	3421
1592	12	3421
1593	14	3418
1594	6	3427
1595	11	3422
1596	12	3420
1597	7	3425
1598	8	3423
1599	11	3422
1600	13	3420
1601	8	3425
1602	10	3423
1603	14	3418
1604	8	3425
1605	5	3427
1606	6	3427
1607	12	3421
1608	9	3424
1609	8	3419
1610	12	3420
1611	11	3422
1612	11	3420
1613	7	3425
1614	6	3427
1615	6	3427
1616	17	3416
1617	11	3422
1618	10	3422
1619	12	3421
1620	14	3419
1621	13	3420
1622	13	3420
1623	16	3415
1624	9	3424
1625	11	3422
1626	16	3411
1627	9	3424
1628	16	3417
1629	9	3423
1630	12	3421
1631	12	3420
1632	7	3425
1633	10	3422
1634	12	3421
1635	12	3421
1636	9	3424
1637	15	3418
1638	17	3416
1639	10	3423
1640	13	3420
1641	17	3416
1642	10	3423
1643	11	3422
1644	5	3428
1645	8	3425
1646	10	3423
1647	8	3425
1648	10	3423
1649	4	3429
1650	14	3419
1651	10	3422
1652	9	3424
1653	15	3418
1654	12	3421
1655	6	3427
1656	8	3425
1657	9	3424
1658	15	3416
1659	11	3421
1660	13	3420
1661	15	3418
1662	13	3418
1663	14	3419
1664	13	3414
1665	5	3428
1666	11	3421
1667	12	3420
1668	11	3422
1669	4	3429
1670	9	3424
1671	12	3421
1672	16	3417
1673	13	3419
1674	8	3425
1675	7	3426
1676	7	3426
1677	10	3422
1678	9	3424
1679	9	3423
1680	6	3426
1681	12	3421
1682	7	3426
1683	10	3423
1684	10	3423
1685	8	3425
1686	12	3421
1687	12	3421
1688	8	3425
1689	13	3420
1690	13	3420
1691	16	3417
1692	8	3425
1693	6	3427
1694	11	3422
1695	10	3422
1696	9	3424
1697	9	3424
1698	8	3425
1699	13	3420
1700	8	3424
1701	12	3421
1702	14	3418
1703	10	3422
1704	13	3420
1705	17	3416
1706	8	3425
1707	12	3421
1708	13	3420
1709	16	3416
1710	10	3423
1711	7	3426
1712	12	3421
1713	14	3418
1714	5	3428
1715	10	3423
1716	10	3423
1717	15	3418
1718	9	3424
1719	12	3421
1720	5	3428
1721	13	3419
1722	12	3421
1723	9	3424
1724	5	3428
1725	12	3421
1726	7	3419
1727	10	3423
1728	11	3422
1729	11	3422
1730	9	3424
1731	13	3419
1732	7	3426
1733	8	3425
1734	6	3427
1735	6	3427
1736	9	3424
1737	7	3426
1738	11	3422
1739	11	3420
1740	11	3422
1741	9	3424
1742	7	3426
1743	11	3422
1744	14	3419
1745	8	3425
1746	7	3426
1747	14	3419
1748	9	3424
1749	9	3424
1750	6	3427
1751	12	3420
1752	11	3419
1753	11	3422
1754	10	3423
1755	15	3418
1756	13	3420
1757	10	3423
1758	11	3422
1759	11	3421
1760	16	3417
1761	9	3424
1762	15	3417
1763	10	3423
1764	9	3424
1765	14	3414
1766	16	3417
1767	11	3422
1768	6	3427
